Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,castor.castor_0,castor.castor_1,castor.castor_2,castor.castor_3,segway.segway_0,segway.segway_1,segway.segway_2,segway.segway_3
1669927713.5209596,1,1669927713,520436286,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.530561,2,1669927713,530405044,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.5407574,3,1669927713,540410995,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.5507128,4,1669927713,550445079,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.5606546,5,1669927713,560388326,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.5706089,6,1669927713,570415019,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.5807822,7,1669927713,580337762,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.590516,8,1669927713,590381145,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6006722,9,1669927713,600491285,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6111124,10,1669927713,610438585,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6207821,11,1669927713,620532274,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6307533,12,1669927713,630440711,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.640623,13,1669927713,640435218,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6506453,14,1669927713,650395393,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6608279,15,1669927713,660416603,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6706579,16,1669927713,670441389,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6806924,17,1669927713,680412054,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.6907947,18,1669927713,690480709,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7006142,19,1669927713,700431585,,0.0,2.5566347176209092e-05,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7112303,20,1669927713,710524082,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7209322,21,1669927713,720592975,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7306428,22,1669927713,730451822,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7406805,23,1669927713,740400314,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7505343,24,1669927713,750395298,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7607698,25,1669927713,760439157,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.770677,26,1669927713,770414829,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.7805767,27,1669927713,780397891,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.790916,28,1669927713,790545463,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8009894,29,1669927713,800574541,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8111763,30,1669927713,810657262,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.820986,31,1669927713,820450782,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8306391,32,1669927713,830398559,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8406062,33,1669927713,840404987,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8507063,34,1669927713,850455760,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8606477,35,1669927713,860452651,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8707416,36,1669927713,870405435,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.880733,37,1669927713,880401134,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.8908288,38,1669927713,890480756,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9006982,39,1669927713,900403022,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9107597,40,1669927713,910431861,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.920888,41,1669927713,920410394,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9308314,42,1669927713,930521011,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9407284,43,1669927713,940477609,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9507096,44,1669927713,950422763,,0.0,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9609454,45,1669927713,960563182,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9711401,46,1669927713,970539331,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.980722,47,1669927713,980432987,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927713.9905875,48,1669927713,990420818,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0007143,49,1669927714,397205,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0105922,50,1669927714,10400056,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0207222,51,1669927714,20466089,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0311654,52,1669927714,30592679,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
1669927714.0410109,53,1669927714,40613412,,-2.5566347176209092e-05,0.0,2.5566347176209092e-05,-2.5566347176209092e-05,-29,60,-28,66
